PathwayID	topGO
GO:0051386	GO:0065007
GO:0051660	GO:0009987
GO:0051660	GO:0051179
GO:0051923	GO:0008152
GO:0051923	GO:0009987
GO:0051988	GO:0065007
GO:0052646	GO:0008152
GO:0052646	GO:0009987
GO:0055023	GO:0065007
GO:0060055	GO:0032502
GO:0060065	GO:0032502
GO:0060065	GO:0022414
GO:0060081	GO:0065007
GO:0060159	GO:0065007
GO:0060245	GO:0050896
GO:0060253	GO:0065007
GO:0060368	GO:0065007
GO:0060391	GO:0065007
GO:0060438	GO:0032502
GO:0060442	GO:0032502
GO:0060442	GO:0022414
GO:0060442	GO:0032501
GO:0060445	GO:0032502
GO:0060445	GO:0032501
GO:0060479	GO:0009987
GO:0060479	GO:0032502
GO:0060536	GO:0032502
GO:0060601	GO:0032502
GO:0060628	GO:0065007
GO:0060716	GO:0032502
GO:0060746	GO:0032501
GO:0060746	GO:0022414
GO:0060841	GO:0032502
GO:0060911	GO:0009987
GO:0060911	GO:0032502
GO:0060972	GO:0032501
GO:0061003	GO:0065007
GO:0061052	GO:0065007
GO:0061298	GO:0032502
GO:0061430	GO:0032502
GO:0061517	GO:0009987
GO:0061548	GO:0032502
GO:0061684	GO:0008152
GO:0061684	GO:0009987
GO:0062009	GO:0032502
GO:0070170	GO:0065007
GO:0070189	GO:0008152
GO:0070189	GO:0009987
GO:0070278	GO:0051179
GO:0070278	GO:0009987
GO:0070293	GO:0032501
GO:0070391	GO:0050896
GO:0070417	GO:0050896
GO:0070417	GO:0009987
GO:0070493	GO:0009987
GO:0070493	GO:0065007
GO:0070561	GO:0009987
GO:0070561	GO:0065007
GO:0070593	GO:0009987
GO:0070601	GO:0009987
GO:0070942	GO:0009987
GO:0070942	GO:0002376
GO:0071107	GO:0050896
GO:0071236	GO:0050896
GO:0071236	GO:0009987
GO:0071243	GO:0050896
GO:0071243	GO:0009987
GO:0071257	GO:0050896
GO:0071257	GO:0009987
GO:0071498	GO:0050896
GO:0071498	GO:0009987
GO:0071599	GO:0032502
GO:0071605	GO:0008152
GO:0071605	GO:0009987
GO:0071605	GO:0032501
GO:0071609	GO:0008152
GO:0071609	GO:0009987
GO:0071609	GO:0032501
GO:0071635	GO:0065007
GO:0071636	GO:0065007
GO:0071676	GO:0065007
GO:0071731	GO:0050896
GO:0072010	GO:0032502
GO:0072044	GO:0032502
GO:0072148	GO:0009987
GO:0072148	GO:0032502
GO:0072176	GO:0032502
GO:0072189	GO:0032502
GO:0072224	GO:0032502
GO:0072520	GO:0032502
GO:0072520	GO:0022414
GO:0072567	GO:0008152
GO:0072567	GO:0009987
GO:0072567	GO:0032501
GO:0072683	GO:0002376
GO:0072683	GO:0009987
GO:0072710	GO:0050896
GO:0086067	GO:0009987
GO:0086070	GO:0009987
GO:0086100	GO:0009987
GO:0086100	GO:0065007
GO:0086103	GO:0009987
GO:0086103	GO:0065007
GO:0090084	GO:0065007
GO:0090103	GO:0032502
GO:0090136	GO:0009987
GO:0090153	GO:0065007
GO:0090189	GO:0065007
GO:0090205	GO:0065007
GO:0090208	GO:0065007
GO:0090209	GO:0065007
GO:0090219	GO:0065007
GO:0090594	GO:0050896
GO:0097066	GO:0050896
GO:0097205	GO:0032501
GO:0097468	GO:0009987
GO:0097531	GO:0002376
GO:0097531	GO:0009987
GO:0098780	GO:0050896
GO:0098780	GO:0009987
GO:0098792	GO:0008152
GO:0098792	GO:0009987
GO:0098840	GO:0051179
GO:0098840	GO:0009987
GO:0098911	GO:0065007
GO:0099509	GO:0042592
GO:0110096	GO:0050896
GO:0110096	GO:0009987
GO:0140042	GO:0009987
GO:0140052	GO:0050896
GO:0140052	GO:0009987
GO:0140112	GO:0009987
GO:0140374	GO:0002376
GO:0140374	GO:0050896
GO:0140374	GO:0044419
GO:0140467	GO:0050896
GO:0140467	GO:0009987
GO:0150172	GO:0065007
GO:1900034	GO:0065007
GO:1900037	GO:0065007
GO:1900103	GO:0065007
GO:1900115	GO:0065007
GO:1900246	GO:0065007
GO:1901028	GO:0065007
GO:1901028	GO:0009987
GO:1901142	GO:0008152
GO:1901160	GO:0008152
GO:1901201	GO:0065007
GO:1901503	GO:0008152
GO:1901533	GO:0065007
GO:1901569	GO:0008152
GO:1901856	GO:0065007
GO:1901857	GO:0065007
GO:1901894	GO:0065007
GO:1902224	GO:0008152
GO:1902224	GO:0009987
GO:1902236	GO:0065007
GO:1902237	GO:0065007
GO:1902337	GO:0065007
GO:1902410	GO:0009987
GO:1902547	GO:0065007
GO:1902644	GO:0008152
GO:1902931	GO:0065007
GO:1902969	GO:0008152
GO:1902969	GO:0009987
GO:1903019	GO:0065007
GO:1903020	GO:0065007
GO:1903054	GO:0065007
GO:1903427	GO:0065007
GO:1903428	GO:0065007
GO:1903429	GO:0065007
GO:1903727	GO:0065007
GO:1903729	GO:0065007
GO:1904251	GO:0065007
GO:1904376	GO:0065007
GO:1904424	GO:0065007
GO:1904948	GO:0009987
GO:1904948	GO:0032502
GO:1905214	GO:0065007
GO:1905522	GO:0065007
GO:1905709	GO:0065007
GO:1905809	GO:0065007
GO:1905820	GO:0065007
GO:2000009	GO:0065007
GO:2000010	GO:0065007
GO:2000035	GO:0065007
GO:2000193	GO:0065007
GO:2000253	GO:0065007
GO:2000644	GO:0065007
GO:2000648	GO:0065007
GO:2000737	GO:0065007
GO:2000738	GO:0065007
GO:2000773	GO:0065007
GO:2001014	GO:0065007
GO:2001044	GO:0065007
GO:2001135	GO:0065007
GO:2001212	GO:0065007
GO:0000097	GO:0008152
GO:0000097	GO:0009987
GO:0000098	GO:0008152
GO:0000098	GO:0009987
GO:0000272	GO:0008152
GO:0000729	GO:0008152
GO:0000729	GO:0009987
GO:0001325	GO:0008152
GO:0001325	GO:0009987
GO:0001702	GO:0032502
GO:0001710	GO:0009987
GO:0001710	GO:0032502
GO:0001711	GO:0009987
GO:0001711	GO:0032502
GO:0001731	GO:0009987
GO:0001778	GO:0009987
GO:0001915	GO:0065007
GO:0001973	GO:0009987
GO:0001973	GO:0065007
GO:0002052	GO:0065007
GO:0002091	GO:0065007
GO:0002281	GO:0009987
GO:0002281	GO:0032501
GO:0002281	GO:0002376
GO:0002320	GO:0009987
GO:0002320	GO:0032502
GO:0002430	GO:0002376
GO:0002430	GO:0065007
GO:0002430	GO:0009987
GO:0002674	GO:0065007
GO:0003081	GO:0065007
GO:0003081	GO:0032501
GO:0003084	GO:0065007
GO:0003085	GO:0065007
GO:0003128	GO:0032501
GO:0003159	GO:0032502
GO:0003174	GO:0032502
GO:0003177	GO:0032502
GO:0003214	GO:0032502
GO:0003215	GO:0032502
GO:0003222	GO:0032502
GO:0003298	GO:0032501
GO:0003306	GO:0009987
GO:0003306	GO:0065007
GO:0003334	GO:0032502
GO:0003334	GO:0009987
GO:0003357	GO:0009987
GO:0003357	GO:0032502
GO:0003413	GO:0009987
GO:0003413	GO:0032502
GO:0006000	GO:0008152
GO:0006067	GO:0008152
GO:0006144	GO:0008152
GO:0006144	GO:0009987
GO:0006206	GO:0008152
GO:0006206	GO:0009987
GO:0006266	GO:0008152
GO:0006266	GO:0009987
GO:0006285	GO:0008152
GO:0006285	GO:0009987
GO:0006287	GO:0008152
GO:0006287	GO:0009987
GO:0006415	GO:0009987
GO:0006465	GO:0008152
GO:0006474	GO:0008152
GO:0006491	GO:0008152
GO:0006516	GO:0008152
GO:0006517	GO:0008152
GO:0006534	GO:0008152
GO:0006534	GO:0009987
GO:0006570	GO:0008152
GO:0006570	GO:0009987
GO:0006656	GO:0008152
GO:0006656	GO:0009987
GO:0006684	GO:0008152
GO:0006684	GO:0009987
GO:0006706	GO:0008152
GO:0006707	GO:0008152
GO:0006743	GO:0008152
GO:0006743	GO:0009987
GO:0006751	GO:0008152
GO:0006751	GO:0009987
GO:0006833	GO:0051179
GO:0006895	GO:0051179
GO:0006895	GO:0009987
GO:0006896	GO:0051179
GO:0006896	GO:0009987
GO:0006995	GO:0050896
GO:0006995	GO:0009987
GO:0006999	GO:0009987
GO:0007026	GO:0065007
GO:0007039	GO:0008152
GO:0007168	GO:0009987
GO:0007168	GO:0065007
GO:0007250	GO:0065007
GO:0007494	GO:0032502
GO:0007512	GO:0032502
GO:0007614	GO:0032501
GO:0008211	GO:0008152
GO:0008272	GO:0051179
GO:0008300	GO:0008152
GO:0008300	GO:0009987
GO:0009120	GO:0008152
GO:0009120	GO:0009987
GO:0009226	GO:0008152
GO:0009226	GO:0009987
GO:0009235	GO:0008152
GO:0009235	GO:0009987
GO:0009263	GO:0008152
GO:0009263	GO:0009987
GO:0009310	GO:0008152
GO:0009312	GO:0008152
GO:0009313	GO:0008152
GO:0009642	GO:0050896
GO:0010002	GO:0009987
GO:0010002	GO:0032502
GO:0010042	GO:0050896
GO:0010226	GO:0050896
GO:0010288	GO:0050896
GO:0010310	GO:0065007
GO:0010592	GO:0065007
GO:0010715	GO:0065007
GO:0010738	GO:0065007
GO:0010752	GO:0065007
GO:0010763	GO:0065007
GO:0010771	GO:0065007
GO:0010838	GO:0065007
GO:0010839	GO:0065007
GO:0010866	GO:0065007
GO:0010893	GO:0065007
GO:0010917	GO:0065007
GO:0010968	GO:0065007
GO:0014819	GO:0065007
GO:0014856	GO:0009987
GO:0014912	GO:0065007
GO:0015074	GO:0008152
GO:0015074	GO:0009987
GO:0015697	GO:0051179
GO:0015732	GO:0051179
GO:0015810	GO:0051179
GO:0015810	GO:0009987
GO:0015851	GO:0051179
GO:0016114	GO:0008152
GO:0016114	GO:0009987
GO:0016137	GO:0008152
GO:0016322	GO:0009987
GO:0016322	GO:0032502
GO:0016338	GO:0009987
GO:0017014	GO:0008152
GO:0018126	GO:0008152
GO:0018158	GO:0008152
GO:0019336	GO:0008152
GO:0019336	GO:0009987
GO:0019372	GO:0008152
GO:0019372	GO:0009987
GO:0019755	GO:0051179
GO:0021554	GO:0032502
GO:0021559	GO:0032502
GO:0021562	GO:0032502
GO:0021859	GO:0009987
GO:0021859	GO:0032502
