"ensembl_gene_id"	"external_gene_name"
"293"	"ENSG00000070808"	"CAMK2A"
"294"	"ENSG00000070831"	"CDC42"
"295"	"ENSG00000070961"	"ATP2B1"
"296"	"ENSG00000071205"	"ARHGAP10"
"297"	"ENSG00000071462"	"BUD23"
"298"	"ENSG00000071553"	"ATP6AP1"
"299"	"ENSG00000071626"	"DAZAP1"
"300"	"ENSG00000071894"	"CPSF1"
"301"	"ENSG00000071967"	"CYBRD1"
"302"	"ENSG00000071991"	"CDH19"
"303"	"ENSG00000072071"	"ADGRL1"
"304"	"ENSG00000072110"	"ACTN1"
"305"	"ENSG00000072182"	"ASIC4"
"306"	"ENSG00000072210"	"ALDH3A2"
"307"	"ENSG00000072364"	"AFF4"
"308"	"ENSG00000072609"	"CHFR"
"309"	"ENSG00000072778"	"ACADVL"
"310"	"ENSG00000072818"	"ACAP1"
"311"	"ENSG00000072832"	"CRMP1"
"312"	"ENSG00000072849"	"DERL2"
"313"	"ENSG00000072958"	"AP1M1"
"314"	"ENSG00000073067"	"CYP2W1"
"315"	"ENSG00000073331"	"ALPK1"
"316"	"ENSG00000073464"	"CLCN4"
"317"	"ENSG00000073670"	"ADAM11"
"318"	"ENSG00000073734"	"ABCB11"
"319"	"ENSG00000073737"	"DHRS9"
"320"	"ENSG00000073754"	"CD5L"
"321"	"ENSG00000074054"	"CLASP1"
"322"	"ENSG00000074201"	"CLNS1A"
"323"	"ENSG00000074266"	"EED"
"324"	"ENSG00000074276"	"CDHR2"
"325"	"ENSG00000074370"	"ATP2A3"
"326"	"ENSG00000074410"	"CA12"
"327"	"ENSG00000074582"	"BCS1L"
"328"	"ENSG00000074603"	"DPP8"
"329"	"ENSG00000074855"	"ANO8"
"330"	"ENSG00000074964"	"ARHGEF10L"
"331"	"ENSG00000075089"	"ACTR6"
"332"	"ENSG00000075151"	"EIF4G3"
"333"	"ENSG00000075239"	"ACAT1"
"334"	"ENSG00000075275"	"CELSR1"
"335"	"ENSG00000075340"	"ADD2"
"336"	"ENSG00000075429"	"CACNG5"
"337"	"ENSG00000075461"	"CACNG4"
"338"	"ENSG00000075624"	"ACTB"
"339"	"ENSG00000075673"	"ATP12A"
"340"	"ENSG00000075711"	"DLG1"
"341"	"ENSG00000075790"	"BCAP29"
"342"	"ENSG00000075884"	"ARHGAP15"
"343"	"ENSG00000076108"	"BAZ2A"
"344"	"ENSG00000076513"	"ANKRD13A"
"345"	"ENSG00000076555"	"ACACB"
"346"	"ENSG00000076826"	"CAMSAP3"
"347"	"ENSG00000076928"	"ARHGEF1"
"348"	"ENSG00000077044"	"DGKD"
"349"	"ENSG00000077063"	"CTTNBP2"
"350"	"ENSG00000077080"	"ACTL6B"
"351"	"ENSG00000077232"	"DNAJC10"
"352"	"ENSG00000077274"	"CAPN6"
"353"	"ENSG00000077279"	"DCX"
"354"	"ENSG00000077380"	"DYNC1I2"
"355"	"ENSG00000077420"	"APBB1IP"
"356"	"ENSG00000077522"	"ACTN2"
"357"	"ENSG00000077549"	"CAPZB"
"358"	"ENSG00000077984"	"CST7"
"359"	"ENSG00000078053"	"AMPH"
"360"	"ENSG00000078061"	"ARAF"
"361"	"ENSG00000078124"	"ACER3"
"362"	"ENSG00000078295"	"ADCY2"
"363"	"ENSG00000078401"	"EDN1"
"364"	"ENSG00000078549"	"ADCYAP1R1"
"365"	"ENSG00000078699"	"CBFA2T2"
"366"	"ENSG00000078725"	"BRINP1"
"367"	"ENSG00000079112"	"CDH17"
"368"	"ENSG00000079335"	"CDC14A"
"369"	"ENSG00000079385"	"CEACAM1"
"370"	"ENSG00000079393"	"DUSP13B"
"371"	"ENSG00000079432"	"CIC"
"372"	"ENSG00000079557"	"AFM"
"373"	"ENSG00000079691"	"CARMIL1"
"374"	"ENSG00000079785"	"DDX1"
"375"	"ENSG00000079805"	"DNM2"
"376"	"ENSG00000080166"	"DCT"
"377"	"ENSG00000080200"	"CRYBG3"
"378"	"ENSG00000080572"	"DNAAF6"
"379"	"ENSG00000080573"	"COL5A3"
